#version 1.0
#Date 11-13-2017
1-Oct	mitochondrial intermediate peptidase
AAP1	arginine/alanine aminopeptidase
AAP1'	arginine/alanine aminopeptidase
AAR	alpha-aminoadipate reductase protein
AAR2	a1-alpha2 repression
AARS	K01872 alanyl-tRNA synthetase
AARSD1	Alanyl-tRNA editing protein Aarsd1
AASS	Alpha-aminoadipic semialdehyde synthase, mitochondrial
AAT1	aspartate transaminase AAT1
AAT2	Aspartate aminotransferase, cytoplasmic
AAT3	Aspartate aminotransferase (Transaminase A) (AspAT)
AAT21	aspartate transaminase
AAT22	Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT2/GOT1
AAY4	mating-type protein A-alpha Y4
AAZ4	A-alpha Z4, HD1 mating type protein
ABA2	Zeaxanthin epoxidase, chloroplastic
ABA3	Molybdenum cofactor sulfurase
ABC1	mitochondrial chaperone
ABCB1	Multidrug resistance protein 1
ABCB1_0	Multidrug resistance protein 1
ABCB1_1	Multidrug resistance protein 1
ABCB1_2	Multidrug resistance protein 1
ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial
ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial
ABCC1_0	Multidrug resistance-associated protein 1
ABCC1_1	Multidrug resistance-associated protein 1
ABCC1_2	Multidrug resistance-associated protein 1
ABCC2	Canalicular multispecific organic anion transporter 1
ABCD1	ATP-binding cassette sub-family D member 1
ABCD2	ATP-binding cassette sub-family D member 2
ABCD2_0	ATP-binding cassette sub-family D member 2
ABCD2_1	ATP-binding cassette sub-family D member 2
ABCD3	ATP-binding cassette sub-family D member 3
ABCD4	ATP-binding cassette sub-family D member 4
ABCE1	ATP-binding cassette sub-family E member 1
ABCE2	ABC transporter E family member 2
ABCF3	ATP-binding cassette sub-family F member 3
ABCG1	ATP-binding cassette sub-family G member 1
ABF1	DNA-binding protein ABF1
ABF2	DNA-binding protein ABF2
ABFa	ABFa alfa-L-arabinofuranosidase-A
ABHD12	Monoacylglycerol lipase ABHD12
ABL	Agaricus bisporus lectin
ABM1	aberrant microtubules
ABP1	actin binding protein
ABP140	AdoMet-dependent tRNA methyltransferase and actin binding protein
ABQ6	A-beta Q6, HD1 mating type protein
ABR6	homeodomain mating type protein, HD2 homeodomain
ABS6	A-beta-S6, HD1 mating-type protein
ABT6	A-beta-T6, HD1 mating type protein
ABT_0	ADP,ATP carrier protein
ABT_1	ADP,ATP carrier protein
ABU6	A-beta-U6, HD1 mating type protein
ABV6	HD2 mating type protein
ABZ1	para-aminobenzoate synthase, (PABA)
ABZ2	Aminodeoxychorismate lyase
ACA1	ATF/CREB activator
ACA4	Alpha carbonic anhydrase 4
ACAD10	Acyl-CoA dehydrogenase family member 10
ACAD10_0	Acyl-CoA dehydrogenase family member 10
ACAD10_1	Acyl-CoA dehydrogenase family member 10
ACAD11	acyl-CoA dehydrogenase family member 11
ACAD11_1	Acyl-CoA dehydrogenase family member 11
ACAD11_2	Acyl-CoA dehydrogenase family member 11
ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2
ACB1	acyl-CoA-binding protein (ACBP)/diazepam binding inhibitor (DBI)/endozepine (EP)
ACBP2	Acyl-CoA-binding domain-containing protein 2
ACBP4_0	Acyl-CoA-binding domain-containing protein 4
ACBP4_1	Acyl-CoA-binding domain-containing protein 4
ACBP4_2	Acyl-CoA-binding domain-containing protein 4
ACBP4_3	Acyl-CoA-binding domain-containing protein 4
ACBP5	Acyl-CoA-binding domain-containing protein 5
ACC1	acetyl-coenzyme-A carboxylase
ACCS1	aminocyclopropane-1-carboxylate synthase-like protein
ACD3	Arylacetamide deacetylase
ACD99	acetyl-coenzyme-A dehydrogenase
ACE1	copper-binding transcription factor
ACE2	Metallothionein expression activator
ACER3	Alkaline ceramidase 3
ACF2	endo-1,3-beta glucanase
ACF2-1	Intracellular beta-1,3-endoglucanase
ACF2-2	Intracellular beta-1,3-endoglucanase
ACF3	glycoside hydrolase
ACF4	endo-1,3-beta-glucanase Daughter Specific Expression 4
ACH1	acetyl-CoA hydrolase
ACHE_0	Acetylcholinesterase
ACHE_1	Acetylcholinesterase
ACK1	activator of C kinase protein 1
ACL1	citrate synthase
ACL2	glutathione synthetase ATP-binding domain-like protein
ACL4	Chaperone for rRNA and ribosome biosynthesis
ACLY	ATP-citrate synthase
ACN9	acetate non-utilizing protein 9
ACO1	Aconitate hydratase mitochondrial
ACO2	aconitate hydratase
ACO2a	putative aconitate hydratase 2
ACO2b	aconitate hydratase
ACO3	Acyl CoA oxidase
ACON	Aconitate hydratase, mitochondrial
ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial
ACOT13	Acyl-coenzyme A thioesterase 13
ACOX1	Peroxisomal acyl-coenzyme A oxidase 1
ACOX2	Acyl-coenzyme A oxidase (Acyl-CoA oxidase)
ACOXL	Acyl-coenzyme A oxidase-like protein
ACOXL_0	Acyl-coenzyme A oxidase-like protein
ACOXL_1	Acyl-coenzyme A oxidase-like protein
ACP1	acyl carrier protein
ACP2	mitochondrial acyl carrier protein
ACP12	acyl carrier protein
ACPL2	Acid phosphatase-like protein 2
ACPM1	Subunit of mitochondrial NADH:ubiquinone oxidoreductase (complex I)
ACPP_0	Prostatic acid phosphatase
ACPP_1	Prostatic acid phosphatase
ACPS	holo-(acyl-carrier protein) synthase
ACR2.2	Arsenate reductase 2.2
ACS	acetate--CoA ligase
ACS1	acetyl-CoA synthetase
ACS2	acetyl-coenzyme A synthetase 2
ACS-1	Acetyl-coenzyme A synthetase
ACSA	Acetyl-coenzyme A synthetase
ACSF3	Acyl-CoA synthetase family member 3, mitochondrial
ACSL5	Long-chain-fatty-acid--CoA ligase 5
ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial
ACT	actin
ACT1	actin
ACTL6A_0	Actin-like protein 6A
ACTL6A_1	Actin-like protein 6A
ACTN1	Alpha-actinin-1
ACTR10	Actin-related protein 10
ACTY	Actin-11
ACTZ	Actin-2
ACTZ_0	Actin-2
ACTZ_1	Actin-2
ACU7	Isocitrate lyase
ACU-7	Isocitrate lyase
ACX1	Peroxisomal acyl-coenzyme A oxidase 1
ACX1_0	Peroxisomal acyl-coenzyme A oxidase 1
ACX1_1	Peroxisomal acyl-coenzyme A oxidase 1
ACX2_0	Acyl-coenzyme A oxidase 2, peroxisomal
ACX2_1	Acyl-coenzyme A oxidase 2, peroxisomal
ADA1	putative zinc finger protein
ADA2	Transcriptional adapter ADA2
ADAT2	tRNA-specific adenosine deaminase 2
ADCS	Aminodeoxychorismate synthase, chloroplastic
ADCY10	Adenylate cyclase type 10
ADD1.2	ATP-dependent DNA helicase
ADD2.1	ATP-dependent DNA helicase
ADD2.2	ATP-dependent DNA helicase
ADD2.3	ATP-dependent DNA helicase
ADD2.4	ATP-dependent DNA helicase
ADD3.1	ATP-dependent DNA helicase
ADD3.2	ATP-dependent DNA helicase
ADD3.3	ATP-dependent DNA helicase
ADD66	proteasome chaperone 2
ADE1_0	Bifunctional purine biosynthetic protein ADE1
ADE1_1	Phosphoribosylaminoimidazole-succinocarboxamide synthase
ADE1_2	Phosphoribosylformylglycinamidine cyclo-ligase
ADE1_3	phosphoribosylaminoimidazole carboxylase
ADE2	phosphoribosylaminoimidazole carboxylase ADE2
ADE3	tetrahydrofolate synthase
ADE4	amidophosphoribosyltransferase
ADE5,7	bifunctional purine biosynthetic protein ADE5
ADE6	phosphoribosylformylglycinamidine synthase
ADE8	Phosphoribosylglycinamide formyltransferase
ADE12	Adenylosuccinate synthase
ADE13	adenylosuccinase ADE13
ADE16	5-aminoimidazole-4-carboxamide ribonucleotide (AICAR) transformylase/IMP cyclohydrolase
ADE17	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
ADH1	Alcohol dehydrogenase
ADH1_0	Alcohol dehydrogenase 1
ADH1_1	Alcohol dehydrogenase 1
ADH2	Alcohol dehydrogenase
ADH3	alcohol dehydrogenase (NADP dependent)
ADH4	alcohol dehydrogenase ADH4
ADH4a	alcohol dehydrogenase 4
ADH4b	alcohol dehydrogenase 4
ADH5	NAD/NADP dependent alcohol dehydrogenase
ADH6	Alcohol dehydrogenase
ADH7	NADP-dependent alcohol dehydrogenase
ADH8	NADPH-dependent medium chain alcohol dehydrogenase
ADH600	Putative alcohol dehydrogenase
ADH601	Putative alcohol dehydrogenase
ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
ADI1-1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1
ADI1-1_0	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1
ADI1-1_1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1
ADK	Adenosine kinase
ADK1	Adenylate kinase
ADK1_0	Adenylate kinase
ADK1_1	Adenosine kinase 1
ADK2	Adenylate kinase 2
ADM-B	Disintegrin and metalloproteinase domain-containing protein B
ADM-B_0	Disintegrin and metalloproteinase domain-containing protein B
ADM-B_1	Disintegrin and metalloproteinase domain-containing protein B
ADM-B_2	Disintegrin and metalloproteinase domain-containing protein B
ADO1	adenosine kinase
ADO2	Adagio protein 2
ADR1	DNA-binding transcription factor ADR1
ADR1.1	protein similar to protein that controls the expression of ADH2, peroxisomal protein genes, and genes required for ethanol, glycerol, and fatty acid utilization
ADR1.2	ADR1-like Zn finger domain protein
ADR1.3	ADR1-like protein
ADSL	Adenylosuccinate lyase
ADT1	ADP,ATP carrier protein
ADY2	Accumulation of DYads
ADY2-1	Acetate transporter
ADY2-2	Acetate transporter
ADY2-3	Acetate transporter
ADY2-4	Acetate transporter
ADY3	accumulation of dyads involved protein
ADY4	accumulation of dyads involved protein
AEF1	anion exchange family protein
AEP1	nuclear control of ATPase messenger RNA expression protein
AEP2	ATPase expression protein
AEP3	Protein involved in mitochondrial translation initiation
AF9	Protein AF-9
AFC2	Serine/threonine-protein kinase AFC2
AFG1	ATPase
AFG2	AAA+-type ATPase
AFG3	AAA family ATPase AFG3
AFI1	ARF3-interacting protein 1
AFL1	inositol polyphosphate kinase
AFL-R	aflatoxin regulatory protein
AFR1	cytoskeletal protein
AFR075C	Pheromone-regulated membrane protein 10
AFT1	DNA-binding transcription factor AFT1
AFT2	activator of iron transcription
AGA	GTPase
AGA1	A-agglutinin attachment subunit precursor
AGA2	a-agglutinin adhesion subunit
AGBL_0	Alpha-galactosyl-binding lectin
AGBL_1	Alpha-galactosyl-binding lectin
AGBL_2	Alpha-galactosyl-binding lectin
AGBL_3	Alpha-galactosyl-binding lectin
AGC1	mitochondrial aspartate-glutamate transporter AGC1
AGD8	GTPase-activating protein 8
AGD10	ADP-ribosylation factor GTPase-activating protein AGD10
AGE1	GTPase activating protein
AGE2	ARF GAP with effector function(s)
AGL1	alpha-glucosidase maltase
AGL2	Alpha-glucosidase 2
AGLU	Alpha-glucosidase
AGM1	phosphoacetylglucosamine mutase
AGO1	Protein argonaute 1
AGO1B	Protein argonaute 1B
AGO2_0	Protein argonaute-2
AGO2_1	Protein argonaute-2
AGO5	Protein argonaute 5
AGO16201	argonaute-like protein
AGO16202	argonaute-like protein
AGO16204	argonaute-like protein
AGO16205	argonaute-like protein
AGO16206	argonaute-like protein
AGP1	General amino acid permease
AGP2	general amino acid permease AGP2
AGP2-1	High affinity polyamine permease
AGP2-2	High affinity polyamine permease
AGP3	General amino acid permease
AGP4	General amino acid permease
AGP5	General amino acid permease
AGP6	General amino acid permease
AGP7	General amino acid permease
AGP8	General amino acid permease
AGP9	General amino acid permease
AGP10	General amino acid permease
AGP11	dicarboxylic amino acid permease
AGP12	General amino acid permease
AGX1	Alanine--glyoxylate aminotransferase 1
AGX1_0	Alanine--glyoxylate aminotransferase 1
AGX1_1	Alanine--glyoxylate aminotransferase 1
AHA1	Co-chaperone
AHA4	ATPase 4, plasma membrane-type
AHA6	ATPase 6, plasma membrane-type
AHA8	ATPase 8, plasma membrane-type
AHC1	protein AHC1
AHC2	Ada histone acetyltransferase complex component
AHK3	Histidine kinase 3
AHK5	Histidine kinase 5
AHM4	Cadmium/zinc-transporting ATPase 4
AHP1	peroxiredoxin type-2
AI1	intron-encoded reverse transcriptase aI1
AI2	intron-encoded reverse transcriptase aI2
AI3	intron-encoded DNA endonuclease aI3
AI4	intron-encoded DNA endonuclease aI4
AI5_ALPHA	intron-encoded DNA endonuclease aI5 alpha
AI5_BETA	intron-encoded DNA endonuclease aI5 beta
AIF1	apoptosis-inducing factor
AIF1-1	Apoptosis-inducing factor 1
AIF1-3	Apoptosis-inducing factor 1
AIFM1	Apoptosis-inducing factor 1, mitochondrial
AIFM2	Apoptosis-inducing factor 2
AIFM2_0	Apoptosis-inducing factor 2
AIFM2_1	Apoptosis-inducing factor 2
AIFM2_2	Apoptosis-inducing factor 2
AIM1	Altered inheritance of mitochondria protein 1
AIM3	Altered inheritance of mitochondria protein 3
AIM6	Altered inheritance of mitochondria protein 6
AIM7	Arp2/3 complex associating protein
AIM9_0	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_1	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_2	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_3	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_4	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_5	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_6	Altered inheritance of mitochondria protein 9, mitochondrial
AIM9_7	Altered inheritance of mitochondria protein 9, mitochondrial
AIM10	Putative tRNA synthetase
AIM11	Altered inheritance of mitochondria protein 11
AIM18	Altered inheritance of mitochondria protein 18 mitochondrial
AIM19	loss of respiratory capacity protein 2
AIM23	Altered inheritance of mitochondria protein 23, mitochondrial
AIM24	Altered inheritance of mitochondria protein 24, mitochondrial
AIM25	altered inheritance rate of mitochondria protein 25
AIM27	ER membrane protein complex subunit 3
AIM29	Altered inheritance rate of mitochondria protein 29
AIM32	Altered inheritance of mitochondria protein 32
AIM32_0	Altered inheritance of mitochondria protein 32
AIM32_1	Altered inheritance of mitochondria protein 32
AIM32_2	Altered inheritance of mitochondria protein 32
AIM33	cytochrome-b5 reductase
AIM34	SAP super family
AIM36	Altered inheritance of mitochondria protein 36, mitochondrial
AIM41	Altered inheritance of mitochondria protein 41 mitochondrial
AIM43	mitochondrial protein FMP14
AIM45	putative electron transfer flavoprotein subunit alpha
AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
AIP1	WD40 repeat-like protein
AIP2	D-lactate dehydrogenase
AIR1	TRAMP complex RNA-binding subunit
AKL1	Ark-family serine/threonine protein kinase
AKR1	palmitoyltransferase AKR1
AKR1A1	Alcohol dehydrogenase [NADP(+)]
AKR2	ankyrin repeat-containing protein
AKR3	aldose reductase
AKR4	aldose reductase
AKR5	Aldo/keto reductase
AKR7A3	Aflatoxin B1 aldehyde reductase member 3
AKR7L	Aflatoxin B1 aldehyde reductase member 4
AKT2	RAC-beta serine/threonine-protein kinase
ALA2	Alanine aminotransferase 2
ALB1	ribosome biogenesis protein ALB1
ALD1	aldolase
ALD2	mitochondrial aldehyde dehydrogenase
ALD3	aldehyde dehydrogenase
ALD4	potassium-activated aldehyde dehydrogenase
ALD5	aldehyde dehydrogenase (NAD(P)(+)) ALD5
ALD6	aldehyde dehydrogenase (NADP(+)) ALD6
ALD6-1	Magnesium-activated aldehyde dehydrogenase, cytosolic
ALD6-2	Magnesium-activated aldehyde dehydrogenase, cytosolic
ALD7	aldehyde dehydrogenase
ALD100	Putative methylmalonate-semialdehyde dehydrogenase
ALDH1	Aldehyde dehydrogenase, cytosolic 1
ALDH2	Aldehyde dehydrogenase, mitochondrial
ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring
ALDH3B1	Aldehyde dehydrogenase family 3 member B1
ALDH3H1	Aldehyde dehydrogenase family 3 member H1
ALDH3H1_0	Aldehyde dehydrogenase family 3 member H1
ALDH3H1_1	Aldehyde dehydrogenase family 3 member H1
ALDH6A1	Methylmalonate-semialdehyde dehydrogenase [acylating] mitochondrial
ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase
ALDH8A1	Aldehyde dehydrogenase family 8 member A1
ALDH10A8	Betaine aldehyde dehydrogenase 1, chloroplastic
ALDH10A9	Betaine aldehyde dehydrogenase 2 mitochondrial
ALDOB	Fructose-bisphosphate aldolase B
ALDOC	Fructose-bisphosphate aldolase C
ALDR	Aldose reductase
ALE1	lysophospholipid acyltransferase
ALF1	cell polarity protein alp11
ALG1	mannosyltransferase
ALG2	Alpha-1,3-mannosyltransferase-like protein
ALG3	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
ALG4	phosphomannomutase
ALG5	dolichyl-phosphate beta-glucosyltransferase
ALG5.1	Glucosyltransferase-like protein
ALG5.2	Glucosyltransferase-like protein
ALG6	Glucosyltransferase-like protein
ALG7	tunicamycin resistance protein
ALG8	glycosyl transferase
ALG9	mannosyltransferase
ALG9.1	Mannosyltransferase, involved in N-linked glycosylation-like protein
ALG9.2	Mannosyltransferase, involved in N-linked glycosylation-like protein
ALG10	glucosyltransferase
ALG11	asparagine-linked glycosylation protein
ALG12	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
ALG13	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit ALG13
ALG14	UDP-N-acetylglucosamine transferase subunit
ALK1	protein kinase ALK1
ALK2	Protein kinase ALK2
ALKBH2	Alpha-ketoglutarate-dependent dioxygenase alkB 2
ALKBH2_0	Alpha-ketoglutarate-dependent dioxygenase alkB 2
ALKBH2_1	Alpha-ketoglutarate-dependent dioxygenase alkB 2
ALKBH7	Alpha-ketoglutarate-dependent dioxygenase alkB 7, mitochondrial
ALMT5	Aluminum-activated malate transporter 5
ALN1	Allantoinase
ALO1	D-arabinono-1,4-lactone oxidase
ALP	Alkaline serine protease
ALP1	Basic amino-acid permease
ALP2	Alkaline phosphatase
ALP14	Spindle pole body component alp14
ALP100	Putative amino acids permease
ALR1	Mg(2+) transporter
ALR2	Putative Mg(2+) transporter
ALS1	Agglutinin-like protein 1 precursor
ALS1.2	Agglutinin-like protein 1 precursor
ALS2	agglutinin-like protein 2
ALS3	Agglutinin-like protein 3
ALS6	agglutinin-like protein 6 serine rich
ALS9	flocculin
ALT1	alanine transaminase
ALT2	alanine transaminase ALT2
ALT-3	acyltransferase, class 3
ALTA7	Minor allergen Alt a 7
ALTA10	Aldehyde dehydrogenase
ALTA12	60S acidic ribosomal protein P1
ALX	Inner membrane protein alx
ALX4	Homeobox protein aristaless-like 4
ALY2	Arrestin-related trafficking adapter 3
ALYREF	THO complex subunit 4
AMA1	meiosis-specific APC/C activator protein AMA1
AMB1	beta alanine synthase
AMC3	Metacaspase-3
AMD1	AMP deaminase
AMD2	Acetamidase
AMD3	Acetamidase
AMD4	amidase
AMD5	amidase activity
AME1	kinetochore protein
AMF1	Low affinity NH4+ transporter
AMF71	low affinity NH4+ transporter
AMFR	Autocrine motility factor receptor
AMI1	Amidase 1
AMI2	Glutamyl-tRNA(Gln) amidotransferase subunit A (amidase)
AML1	Meiosis protein mei2
AMN1	Antagonist of MEN (Mitotic Exit Network)
AMN1_0	Antagonist of mitotic exit network protein 1
AMN1_1	Antagonist of mitotic exit network protein 1
AMO1	peroxisomal copper amine oxidase
AMO3	primary-amine oxidase
AMP11	M1 family aminopeptidase 1
AMPA	cytosol aminopeptidase
AMPM2	Methionine aminopeptidase 2
AMS1	Glycoside hydrolase, family 38 vacuolar alpha mannosidase
AMT6	Glucan 1,4-alpha-maltohexaosidase
AMYG	Glucoamylase 1
ANAPC1	Anaphase-promoting complex subunit 1
ANAPC2	Anaphase-promoting complex subunit 2
ANAPC5	Anaphase-promoting complex subunit 5
ANAPC10	Anaphase-promoting complex subunit 10
ANB1	translation initiation factor eIF5A
ANG1	pH-regulated antigen precursor
ANK1	Ankyrin-1
ANK2	Ankyrin-2
ANK3	Ankyrin-3
ANK3_0	Ankyrin-3
ANK3_1	Ankyrin-3
ANKHD1	Ankyrin repeat and KH domain-containing protein 1
ANKRD16	Ankyrin repeat domain-containing protein 16
ANKRD17	Ankyrin repeat domain-containing protein 17
ANKRD27	Ankyrin repeat domain-containing protein 27
ANKRD50	Ankyrin repeat domain-containing protein 50
ANKRD54_0	Ankyrin repeat domain-containing protein 54
ANKRD54_1	Ankyrin repeat domain-containing protein 54
ANKRD54_2	Ankyrin repeat domain-containing protein 54
ANP1	Mannan polymerase II complex ANP1 subunit
ANP1_1	Mannan polymerase II complex ANP1 subunit
ANP1_2	Mannan polymerase II complex ANP1 subunit
ANR32	Ankyrin repeat domain-containing protein 32
ANT1	ADP/ATP carrier protein
ANT1_0	Peroxisomal adenine nucleotide transporter 1
ANT1_1	Peroxisomal adenine nucleotide transporter 1
AO-I	primary-amine oxidase
AO-I_1	Copper amine oxidase 1
AO-I_2	Copper amine oxidase 1
AOC1-1	Lysyl oxidase
AOC1-2	Lysyl oxidase
AOD1_0	Alcohol oxidase
AOD1_1	Alcohol oxidase
AOD1_2	Alcohol oxidase
AOH2	xanthine dehydrogenase/oxidase
AOS1	E1 ubiquitin-activating protein AOS1
AOX	AOX alternative oxidase mitochondrial
AOX1	Alternative oxidase, mitochondrial precursor
AOX1_0	Alcohol oxidase 1
AOX1_1	Alternative oxidase, mitochondrial
AOX1_2	Alternative oxidase, mitochondrial
AOX2	inducible alternative oxidase 2
AOX100	Alternative oxidase
AP1B1	AP-1 complex subunit beta-1
AP1M1	AP-1 complex subunit mu-1
AP2A2	AP-2 complex subunit alpha-2
AP2B1	AP-2 complex subunit beta
AP2M1	AP-2 complex subunit mu
AP3B2	AP-3 complex subunit beta-2
AP3M1	AP-3 complex subunit mu-1
AP4S1	AP-4 complex subunit sigma-1
AP-2alpha	AP-2 complex subunit alpha
APA1	AP4A phosphorylase
APA2	bifunctional AP-4-A phosphorylase/ADP sulfurylase
APA4	Serine/threonine protein phosphatase 2A
APBB1IP	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
APC1	Anaphase-promoting complex subunit 1
APC2	anaphase-promoting complex subunit 2
APC4	Anaphase-promoting complex subunit 4
APC5	anaphase promoting complex subunit 5
APC8	anaphase-promoting complex component APC8
APC9	anaphase promoting complex subunit 9
APC10	Anaphase-promoting complex subunit 10
APC10_0	Anaphase-promoting complex subunit 10
APC10_1	Anaphase-promoting complex subunit 10
APC11	ubiquitin-protein ligase Anaphase Promoting Complex
APD1	actin patches distal
APD1-1	Actin patches distal protein
APD1-2	Actin patches distal protein
APE1	metalloaminopeptidase APE1
APE2	Aminopeptidase 2 mitochondrial
APE2.1	alanine/arginine aminopeptidase
APE2.2	alanine/arginine aminopeptidase
APE3	Aminopeptidase Y
APE3.1	Aminopeptidase yscIII Transferrin receptor
APE3.2	leucyl aminopeptidase precursor
APE4	aspartyl aminopeptidase
APEX2	DNA-(apurinic or apyrimidinic site) lyase 2
APG	GDSL esterase/lipase APG
API	Protease 1
API5	Apoptosis inhibitor 5
APJ1	J domain-containing protein APJ1
APL1	Clathrin assembly protein complex 2 beta large chain
APL2	beta-adaptin
APL3	clathrin associated protein complex large subunit
APL4	clathrin associated protein complex large subunit
APL5	AP-3 complex subunit delta
APL6	AP-3 complex subunit beta
APM1	AP-1 complex subunit mu-1-Iike
APM2	Putative clathrin-associated protein complex
APM3	AP-3 complex subunit mu
APM4	clathrin associated protein complex medium subunit
APN1	DNA-(apurinic or apyrimidinic site) lyase
APN2	Class II abasic (AP) endonuclease
APO1/CPO1	Cloroperoxidase
APO2/CPO2	Cloroperoxidase
APO3/CPO3	Cloroperoxidase
APO4/CPO4	Cloroperoxidase
APO5/CPO5	Cloroperoxidase
APO6/CPO6	Cloroperoxidase
APO7/CPO7	Cloroperoxidase
APOPT1	Apoptogenic protein 1, mitochondrial
APP1	actin patch protein
APQ12	mRNA transport protein
APR1	aspartic proteinase precursor
APS1	Sigma1B-adaptin
APS2	AP-2 complex subunit sigma
APS3	Sigma-adaptin 3A
APT1	adenine phosphoribosyltransferase
APT2	adenine phosphoribosyltransferase APT2
APTX	Aprataxin
APX-CCP1	heme peroxidase
AQP3	Aquaporin-3
AQP7	Aquaporin-7
AQP9	Aquaporin-9
